ID,اسم المشروع,المجال,الوصف,الفئة المستهدفة
1506,راصد التبريد,كفاءة الطاقة والمدن الذكية,تستهلك غرف الخوادم (Server Rooms) في المنشآت المتوسطة طاقة تبريد هائلة لضبط الحرارة بشكل ثابت بغض النظر عن الحمل البرمجي الفعلي على الأجهزة. نظام يربط تشغيل التكييف بنشاط المعالجات (CPU Load) لتوفير الطاقة.,مدراء تقنية المعلومات والمنشآت المتوسطة
1507,توطين اللهجات,التقنيات اللغوية والذكاء الاصطناعي,تواجه روبوتات خدمة العملاء صعوبة في الفهم الدقيق للمصطلحات والاصطلاحات العامية الدارجة في مناطق جنوب المملكة (عسير وجازان). نموذج لغوي كلي مخصص لمعالجة الكلمات المحلية وسياقها بدقة وبلاغة.,شركات الاتصالات ومقدمو الخدمات والمنصات الرقمية
1508,راصد التآكل,السلامة الصناعية والطاقة,تتعرض الصمامات وأنابيب نقل البخار عالي الضغط في مصانع البتروكيماويات للتآكل الداخلي الخفي بفعل التدفق السريع دون رصد مبكر. يستخدم المشروع مستشعرات كهرومغناطيسية نبضية (PEC) للتنبؤ بعمر الصمام.,شركات الغاز والنفط والمجمعات الصناعية
1509,بصمة البناء,قطاع المقاولات والإنشاءات,تقع عيوب وتشققات في الهياكل الخرسانية نتيجة استخدام رمل بناء يحتوي على نسب عالية من الأملاح والمواد الطينية دون فحص ميداني سريع بالخلاطة. جهاز فحص بصري كيميائي محمول يحدد نسبة الشوائب بدقائق.,شركات المقاولات ومصانع الخرسانة الجاهزة والملاك
1510,عالمي التفاعلي,تقنيات التعليم الشامل والدمج,يواجه الأطفال المصابون بمرض عسر الكتابة (Dysgraphia) صعوبة وإحباطاً في تطوير مهارات الخط والإمساك بالقلم عبر الدفاتر التقليدية. تطبيق على الألواح الذكية يتتبع دقة زوايا الكتابة ويمنح تصحيحاً حركياً ممتعاً.,"الأطفال ذوو عسر الكتابة، المدارس، والأهالي"
1511,فاحص المواد,قطاع التعدين والاستثمار,"يستغرق فرز وتصنيف جودة خام ""الفيلسبار"" المستخرج من المناجم المحلية لمعرفة نسبة تركيز المعادن وقتاً طويلاً بالمختبرات المركزية. جهاز محمول يعتمد على التحليل الطيفي الفلوري للكشف عن النقاء في الميدان.","شركات التنقيب، الجيولوجيون، ومصانع السيراميك"
1512,إسناد الرياضي,الطب الرياضي والرعاية,يواجه لاعبو كرات التنس والاسكواش خطورة التعرض لإصابات تآكل مفصل المرفق (Tennis Elbow) نتيجة اللعب بوضعية هندسية خاطئة للمضرب. يقدم المشروع مقبض مضرب ذكياً بحساسات حركة (IMU) يحلل الضربات ويصححها.,"ممارسو الرياضة، الأندية، ومدربو التنس"
1513,أمان السفينة,الأمن والسلامة البحرية,تواجه قوارب الصيد الصغيرة خطورة الاصطدام بالسفن التجارية الضخمة ليلاً في الممرات الملاحية المزدحمة لغياب أنظمة الرادار المكلفة لديهم. سوار ذكي يركب بالقارب يحلل إشارات الرادار المحيطة ويطلق تنبيهاً صوتياً واهتزازياً حاداً.,الصيادون الهواة والتجاريون وفرق الإنقاذ البحري
1514,إيجاز المشتريات,سلاسل الإمداد للشركات,تواجه المنشآت تعقيدات وتأخيراً في مراجعة مئات كراسات الشروط والمواصفات الفنية المقدمة من الموردين يدوياً لمشاريع التجهيز. أداة ذكاء اصطناعي تفحص الكراسات وتستخرج الفروقات ونقاط الضعف في جدول تنفيذي موحد.,مدراء المشتريات بالشركات والمنشآت المتوسطة
1515,منصة تشارك,التشارك الاقتصادي واللوجستيات,يواجه أصحاب الرافعات والمعدات الثقيلة المتخصصة (كآلات حفر الآبار العميقة) هدر تجميد المعدة دون تشغيل لفترات طويلة بين المشاريع. تطبيق يتيح تأجير ساعات تشغيل المعدات الفائضة بعقود موثقة ومحمية.,"مقاولو الحفر، شركات المقاولات، وأصحاب المعدات"
1516,تحكيم الفواتير,التقنية المالية والشركات,تقع خلافات بين مصانع التعبئة وشركات صيانة الآلات حول دقة ساعات التشغيل الفعلية المحسوبة في فواتير الصيانة الدورية. نظام يربط مستشعرات الآلات بالبلوكشين لتوثيق الساعات وإصدار الفواتير آلياً دون تدخل بشري.,الشركات الصناعية وشركات الصيانة والمحاسبون
